發生地點,經度,緯度
屏東縣枋山鄉台1線 457公里800.0公尺處北側向路肩,120.652989,22.261031
彰化縣二林鎮後厝里新華巷前0.0公尺,120.395753,23.904944
臺南市西港區南41線3.6公里處南下一般車道,120.180324,23.116953
臺東縣東河鄉台11線 147公里東側向內側,121.210765,22.865030
新竹縣竹北市國道1號 91公里500.0公尺處北側向外側,121.021903,24.833369
雲林縣西螺鎮大園里光復東路108號前,120.475290,23.797479
新北市土城區新北市土城區中央路2段與員福街,121.442174,24.978288
新竹市東區研新一路與研新四路,120.986875,24.777785
苗栗縣苗栗市國華路1212號前,120.813420,24.561377
苗栗縣竹南鎮苗3線電線桿(尖筆幹86AD8671BB36)附近,120.898904,24.726329
彰化縣北斗鎮中寮里斗苑路2段 / 彰化縣北斗鎮中寮里光前路,120.504903,23.880126
雲林縣元長鄉雲169鄉道與中山路9巷路口,120.306344,23.647980
高雄市路竹區順安路 / 高雄市路竹區無名路,120.238900,22.838020
嘉義縣朴子市竹村里台19線87.2公里與產業道路口,120.246290,23.436257
臺南市新市區國道8號 9公里400.0公尺處西側向交流道,120.277306,23.065320
宜蘭縣員山鄉內城村員山路2段東側 / 宜蘭縣員山鄉內城村惠民路北側,121.709024,24.722923
新北市五股區新北市五股區疏洪一路與疏洪六路,121.458371,25.075385
彰化縣秀水鄉鶴鳴村馬鳴路 / 彰化縣秀水鄉鶴鳴村彰鹿路,120.503701,24.059030
臺北市北投區福國路前0.0公尺,121.522520,25.102945
屏東縣萬丹鄉廣安村萬丹路2段口 / 屏東縣萬丹鄉廣安村廣維路口,120.487496,22.606213
苗栗縣竹南鎮台61線 93.6公里南側向機、慢車道,120.867431,24.704208
新北市三芝區新北市三芝區淡金公路(四棧橋39-1號),121.502434,25.259345
苗栗縣苑裡鎮東西七路與南北二路路口,120.640096,24.433150
新北市泰山區新北市泰山區大科路686之2號,121.389780,25.065670
臺中市和平區達觀里東崎街1段前0.0公尺,120.924441,24.306601
新北市樹林區新北市樹林區大安路與長壽街,121.426237,25.002193
花蓮縣花蓮市中正路與新興路口以北70公尺處外側路沿,121.614021,23.982046
新竹縣芎林鄉富林路一段與五和街口附近,121.119956,24.736322
高雄市大寮區國華街 / 高雄市大寮區無名路,120.399011,22.625047
南投縣埔里鎮中山路四段62號前,120.938357,23.965194
新北市樹林區新北市樹林區三俊街與俊興街,121.419688,25.016484
嘉義縣民雄鄉秀林村溪底寮82號前,120.464806,23.506232
臺南市仁德區大發路58號前0.0公尺,120.251336,22.984211
臺南市安南區台江大道2段201號,120.207324,23.057420
