X,Y,Z,
121.5197483,25.0739393,大同區承德路3段與哈密街235巷口,
121.5183716,25.0706667,大同區承德路3段與酒泉街口,
121.5120155,25.05003721,大同區鄭州路與鄭州路1段83巷口,
121.5118956,25.0520511,大同區延平北路1段101號,
121.5085579,25.0635385,大同區台北橋機車道往三重,
121.5109221,25.07209319,大同區延平北路4段與酒泉街口,
121.520043,25.07523773,大同區承德路3段與敦煌路口,
121.5210554,25.0778748,大同區承德橋往士林機車道,
121.5158611,25.05373122,大同區南京西路103號,
121.5137729,25.06465587,大同區重慶北路3段與伊寧街口,
121.5108255,25.0606391,大同區涼州街與涼州街72巷口,
121.5159348,25.06216079,大同區民權西路144巷與民權西路144巷10弄口,
121.5066991,25.05055516,大同區環河北路1段與鄭州路口,
121.5091874,25.06862117,大同區環河北路2段與民族西路口,
121.5175158,25.0592619,大同區興城街與歸綏街口,
121.5201899,25.0756054,大同區承德橋北往南,
121.5101143,25.04824378,大同區忠孝西路2段與塔城街口,
121.5112205,25.0627882,大同區延平北路2段與民權西路口,
121.5183932,25.06849919,大同區承德路3段與民族西路口,
121.5184746,25.05743592,大同區民生西路與承德路2段口,
121.5105403,25.05022401,大同區鄭州路與塔城街口,
121.5163407,25.05444383,大同區太原路與太原路152巷口,
121.5190729,25.06281935,大同區民權西路站1號出口,
121.5159992,25.07627807,大同區敦煌路與敦煌路21巷口,
121.5067153,25.05069045,大同區環河北路1段與鄭州路口3號水門口,
121.5118861,25.05903554,大同區保安街57號,
121.5134775,25.06286554,大同區民權西路與重慶北路2段口,
121.5167248,25.05801276,大同區萬全街103巷4號與萬全街103巷口,
121.5138985,25.05587489,大同區重慶北路2段62號,
121.5200783,25.05269628,大同區南京西路25巷,
121.5141569,25.04931928,大同區鄭州路29巷與鄭州路口口,
121.5148285,25.06308294,大同區民權西路與蘭州街口,
121.5066808,25.05059822,大同區鄭州路與環河北路1段口,
121.5098951,25.0686729,大同區迪化街2段146巷與民族西路口口,
121.5135681,25.0592374,大同區重慶北路2段與保安街口,
121.518155,25.0602017,大同區錦西街與承德路2段口,
121.5143896,25.04926869,大同區鄭州路21巷與鄭州路口,
121.5188981,25.05965496,大同區雙連街69號,
121.5182325,25.0629867,大同區民權西路與承德路3段口,
121.5097658,25.06717122,大同區迪化街2段179巷與迪化街2段179巷19弄口,
121.5192353,25.05006655,大同區長安西路78巷與長安西路78巷2弄口,
121.5128768,25.05698737,大同區民生西路301-1號,
121.5076298,25.04870159,大同區忠孝西路2段與西寧北路口,
121.5176177,25.04863017,大同區市民大道1段Y3出口,
121.5112205,25.0627882,大同區延平北路3段與民權西路口,
121.5184049,25.07078451,大同區承德路3段與酒泉街口,
121.5163944,25.04857369,大同區鄭州路與承德路1段口,
121.5138151,25.06882261,大同區重慶北路3段287號,
121.5172917,25.06282613,大同區民權西路127號,
121.511995,25.0499727,大同區鄭州路與延平北路1段口,
121.5114143,25.06009002,大同區延平北路2段246號,
121.5140371,25.0629682,大同區民權西路216號,
121.5105022,25.0630729,大同區台北橋機車道往三重,
121.5104016,25.05199461,大同區長安西路與塔城街口,
121.5108999,25.06306131,大同區台北橋往三重機車道上橋處,
121.5169904,25.05106649,大同區承德路1段與長安西路口,
121.5109873,25.06284498,大同區台北橋機車道往北市下橋處,
121.5148158,25.06306755,大同區民權西路與蘭州街口,
121.5108438,25.06983003,大同區延平北路4段42號,
121.5146287,25.07159932,大同區重慶北路3段257巷19號,
121.5198017,25.07406114,大同區承德路3段與哈密街口,
121.5110423,25.0538358,大同區南京西路與民樂街口,
121.5116826,25.05543877,大同區延平北路2段61巷與延平北路口側附近2段口,
121.5064012,25.06354802,大同區台北橋往北市機車道,
121.5141429,25.06311124,大同區民權西路往西近重慶北路,
121.5128228,25.06310861,大同區民權西路往西大橋頭捷運站1號出口前,
121.5082005,25.06355685,大同區台北橋機車道往三重,
121.5186484,25.07183802,大同區承德路3段與庫倫街口,
121.509748,25.06208933,大同區安西街與延平北路2段272巷口,
121.5109452,25.06727021,大同區延平北路3段118號,
121.5190376,25.0585391,大同區雙連街與萬全街口,
121.5182189,25.07522862,大同區敦煌路24巷2弄29號,
121.5183111,25.06152393,大同區承德路2段235號,
121.5108835,25.06821994,大同區延平北路3段156號,
121.5079487,25.06363852,大同區台北橋往三重機車道,
121.5137056,25.07057749,大同區重慶北路3段238號,
121.5182487,25.0574188,大同區民生西路與承德路2段口,
121.5068969,25.05076556,大同區環河北路1段與鄭州路口,
121.5108856,25.07018273,大同區延平北路4段69號,
121.5172621,25.04865103,大同區市民大道1段J14出口,
121.5185044,25.07059542,大同區承德路3段229號,
121.5160682,25.06589272,大同區大龍街與昌吉街口,
121.5147568,25.06298241,大同區民權西路與蘭州街口,
121.5109934,25.05438115,大同區民樂街27號,
121.515883,25.07137443,大同區大龍街253號,
121.518292,25.0664719,大同區承德路3段96號,
121.5117782,25.05382332,大同區南京西路與延平北路1段口,
121.5132902,25.04946253,大同區鄭州路與重慶北路1段口,
121.5206327,25.07640971,大同區承德橋往士林,
121.5104826,25.0500532,大同區鄭州路與塔城街口,
121.5158911,25.0680929,大同區大龍街與大龍街159巷口,
121.5105218,25.05026828,大同區鄭州路與塔城街口,
121.5154117,25.06862906,大同區民族西路與民族西路169巷口,
121.5166971,25.05000661,大同區承德路1段與華陰街口,
121.5177035,25.06158309,大同區民權西路102巷33弄與承德路2段口,
121.5205037,25.0766058,大同區承德橋往南高公橋下,
121.5157598,25.07624043,大同區哈密街59巷與敦煌路口,
121.5109216,25.0684814,大同區延平北路3段與民族西路口,
121.5111096,25.06283284,大同區台北橋機車道往北市下橋處,
121.5161914,25.06305272,大同區民權西路與大龍街口,
121.5192341,25.07300058,大同區承德路3段283巷口側附近,
121.514779,25.06864323,大同區民族西路189號,
121.5078404,25.05501084,大同區環河北路1段179號,
121.5100162,25.05034885,大同區鄭州路139號前迴轉道,
121.520012,25.05020404,大同區南京西路18巷與長安西路口,
121.5147365,25.06290684,大同區民權西路與蘭州街口,
121.5103206,25.0532233,大同區南京西路與塔城街口,
121.517827,25.0533735,大同區承德路2段與南京西路口,
121.5190376,25.0585391,大同區萬全街與雙連街口,
121.5127512,25.0546152,大同區南京西路167巷8號,
121.5182613,25.05458897,大同區承德路2段與平陽街口,
121.5122195,25.06284265,大同區民權西路260號與民權西路口,
121.5135863,25.06555185,大同區重慶北路3段42號,
121.5196891,25.05618002,大同區赤峰街53巷與赤峰街口,
121.5165753,25.05718539,大同區民生西路199號,
121.5069042,25.05078013,大同區鄭州路與環河北路1段口(玉泉公園旁),
121.5159346,25.06161985,大同區民權西路144巷與民權西路102巷4弄口,
121.5148008,25.06308394,大同區民權西路與蘭州街口,
121.512003,25.0590577,大同區保安街70號,
121.5091921,25.0686718,大同區環河北路2段與民族西路口,
121.5064294,25.05073843,大同區鄭州路與環河北路2段口3號水門堤外機車道,
121.5161274,25.05370895,大同區太原路142-11號,
121.5182487,25.0574188,大同區承德路2段與民生西路口,
121.5183468,25.06853352,大同區承德路3段與民族西路口,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.5182487,25.0574188,大同區承德路2段與民生西路口,
121.5118833,25.04975429,大同區鄭州路與延平北路1段口,
121.5192187,25.05751721,大同區民生西路與雙連街口,
121.5184901,25.06843876,大同區承德路3段與民族西路口,
121.508139,25.05045809,大同區西寧北路與鄭州路口,
